id,type,category,name,translation,file
-1,RANGE,EXTENDED,100,,100_1.ogg
-1,RANGE,EXTENDED,1000,,1000.ogg
-1,RANGE,EXTENDED,120,,120_1.ogg
-1,RANGE,EXTENDED,140,,140_1.ogg
-1,RANGE,EXTENDED,150,,150_1.ogg
-1,RANGE,EXTENDED,160,,160_1.ogg
-1,RANGE,EXTENDED,180,,180_1.ogg
-1,RANGE,EXTENDED,200,,200_1.ogg
-1,RANGE,EXTENDED,250,,250_1.ogg
-1,RANGE,EXTENDED,30,,30_1.ogg
-1,RANGE,EXTENDED,300,,300_1.ogg
-1,RANGE,EXTENDED,350,,350_1.ogg
-1,RANGE,EXTENDED,40,,40_1.ogg
-1,RANGE,EXTENDED,400,,400_1.ogg
-1,RANGE,EXTENDED,450,,450_1.ogg
-1,RANGE,EXTENDED,50,,50_1.ogg
-1,RANGE,EXTENDED,500,,500_1.ogg
-1,RANGE,EXTENDED,60,,60_1.ogg
-1,RANGE,EXTENDED,600,,600.ogg
-1,RANGE,EXTENDED,70,,70_1.ogg
-1,RANGE,EXTENDED,700,,700.ogg
-1,RANGE,EXTENDED,80,,80_1.ogg
-1,RANGE,EXTENDED,800,,800.ogg
-1,RANGE,EXTENDED,900,,900.ogg
-1,PACENOTE,LINKS,AND,And,jatkuu1.ogg
-1,PACENOTE,LINKS,CALLOUT_ADJUST,Callout Adjust,
-1,PACENOTE,LINKS,CALLOUT_DISTANCE,Callout Distance,
-1,PACENOTE,LINKS,CALLOUT_TIME,Callout Time,
-1,PACENOTE,CAUTIONS,CAUTION_WATER,Caution Water,huomio_vetta.ogg
-1,PACENOTE,MODIFIER,CUT,Cut,sisalta.ogg
-1,PACENOTE,LINKS,DISTANCE_CALL,Distance Call,
-1,PACENOTE,MODIFIER,DONTCUT,Don't Cut,ala.ogg
-1,PACENOTE,LINKS,EMPTY_CALL,Empty Call,
-1,PACENOTE,LINKS,INTO,Into,into1.ogg
-1,PACENOTE,MODIFIER,LONG,Long,pitka.ogg
-1,PACENOTE,MODIFIER,MAYBE,Maybe,ehka1.ogg
-1,PACENOTE,MODIFIER,NARROWS,Narrows,sumppu.ogg
-1,PACENOTE,LINKS,ONTO,Onto,onto.ogg
-1,PACENOTE,LINKS,PLACE_HOLDER,Placeholder,
-1,PACENOTE,MODIFIER,SOUND_FILE,Sound File,
-1,PACENOTE,LINKS,SOUND_INDEX,Sound Index,
-1,PACENOTE,MODIFIER,STANDARD_CALL,Standard Call,
-1,PACENOTE,MODIFIER,TIGHTENS,Tightens,kirraa1.ogg
-1,PACENOTE,MODIFIER,TIGHTENSBAD,Tightens Bad,kirraa_kirraa.ogg
-1,PACENOTE,MODIFIER,WIDEOUT,Wide Out,levenee.ogg
0,PACENOTE,CORNERS,ONE_LEFT,HP Left,vasen_tiukka1.ogg
1,PACENOTE,CORNERS,SQUARE_LEFT,2 Left,vasen_kaks1.ogg
2,PACENOTE,CORNERS,THREE_LEFT,3 Left,vasen_kolme1.ogg
3,PACENOTE,CORNERS,FOUR_LEFT,4 Left,vasen_nelja1.ogg
4,PACENOTE,CORNERS,FIVE_LEFT,5 Left,vasen_viis1.ogg
5,PACENOTE,CORNERS,SIX_LEFT,6 Left,vasen_kuus1.ogg
6,PACENOTE,CORNERS,SIX_RIGHT,6 Right,oikee_kuus1.ogg
7,PACENOTE,CORNERS,FIVE_RIGHT,5 Right,oikee_viis1.ogg
8,PACENOTE,CORNERS,FOUR_RIGHT,4 Right,oikee_nelja1.ogg
9,PACENOTE,CORNERS,THREE_RIGHT,3 Right,oikee_kolme1.ogg
10,PACENOTE,CORNERS,SQUARE_RIGHT,2 Right,oikee_kaks1.ogg
11,PACENOTE,CORNERS,ONE_RIGHT,HP Right,oikee_tiukka1.ogg
12,PACENOTE,LINE,TWISTY,Twisty,suoraksi.ogg
14,PACENOTE,ADDITIONAL,NARROWS,Narrows,sumppu.ogg
15,PACENOTE,ADDITIONAL,WIDEOUT,Wide Out,levenee.ogg
16,PACENOTE,OBSTACLES,OVERCREST,Over Crest,yli_nypyn.ogg
17,PACENOTE,OBSTACLES,FORD,Ford,vetta.ogg
18,PACENOTE,CAUTIONS,CARE,Care,varo1.ogg
19,PACENOTE,OBSTACLES,BUMP,Bump,pomppu.ogg
20,PACENOTE,OBSTACLES,JUMP,Jump,hyppy1.ogg
22,PACENOTE,LINKS,FINISH,Finish,maali.ogg
25,PACENOTE,CORNERS,FLAT_RIGHT,Flat Right,oikee_tays1.ogg
26,PACENOTE,CORNERS,FLAT_LEFT,Flat Left,vasen_tays1.ogg
27,PACENOTE,OBSTACLES,BRIDGE,Bridge,silta.ogg
28,PACENOTE,LINE,GOSTRAIGHT,Go Straight,suoraan.ogg
29,PACENOTE,LINE,KEEPRIGHT,Keep Right,oikee_laita.ogg
30,PACENOTE,LINE,KEEPLEFT,Keep Left,vasen_laita.ogg
31,PACENOTE,LINE,KEEPMIDDLE,Keep Middle,keskelta1.ogg
32,PACENOTE,CAUTIONS,CAUTION,Caution,huomio.ogg
102,PACENOTE,CORNERS,TWO_LEFT,1 Left,vasen_yks1.ogg
112,PACENOTE,CORNERS,TWO_RIGHT,1 Right,oikee_yks1.ogg
120,PACENOTE,CORNERS,LEFT,Left,left.ogg
121,PACENOTE,CORNERS,RIGHT,Right,right.ogg
122,PACENOTE,CORNERS,RIGHT_INTO,Right Into,right_into.ogg
123,PACENOTE,CORNERS,LEFT_INTO,Left Into,left_into.ogg
124,PACENOTE,CORNERS,RIGHT_LEFT,Right-Left,right_left.ogg
125,PACENOTE,CORNERS,LEFT_RIGHT,Left-Right,left_right.ogg
126,PACENOTE,CORNERS,RIGHT_AROUND,Right Around,right_around.ogg
127,PACENOTE,CORNERS,LEFT_AROUND,Left Around,left_around.ogg
200,PACENOTE,OBSTACLES,OVER_BRIDGE,SILLAN YLI,silta.ogg
201,PACENOTE,OBSTACLES,OVER_RAILS,RAITEIDEN YLI,raiteet.ogg
202,PACENOTE,OBSTACLES,OVER_RAILWAY,RAITEIDEN YLI,raiteet.ogg
211,PACENOTE,LINE,DEEPCUT,DEEP CUT,deepcut.ogg
212,PACENOTE,LINE,FULLCUT,Full Cut,leikkaa.ogg
213,PACENOTE,LINE,KEEP_CENTRE,Keep Centre,keskelta.ogg
217,PACENOTE,CAUTIONS,BRAKE,Brake,jarru1.ogg
218,PACENOTE,LINE,LIGHT_CUT,LIGHTCUT,light_cut.ogg
220,PACENOTE,LINE,KEEP_IN,Keep In,pida1.ogg
221,PACENOTE,LINE,KEEP_OUT,Keep Out,ulkoo.ogg
223,PACENOTE,LINE,CLIP,Clip,clip.ogg
230,PACENOTE,ADDITIONAL,MINUS,Minus,miinus.ogg
231,PACENOTE,ADDITIONAL,MINUSMINUS,MIINUS MIINUS,minusminus.ogg
232,PACENOTE,ADDITIONAL,PLUS,Plus,plus.ogg
233,PACENOTE,ADDITIONAL,PLUSPLUS,PLUS PLUS,plusplus.ogg
234,PACENOTE,ADDITIONAL,EARLY,Early,alussa.ogg
