id,type,name,translation,file,sounds,error,ini
-1,PLACE,1,,first,1,Not found: first,Audio/NumOther.ini
-1,PLACE,10,,tenth,1,Not found: tenth,Audio/NumOther.ini
-1,RANGE,100,,100_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,1000.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,11,,eleventh,1,Not found: eleventh,Audio/NumOther.ini
-1,PLACE,12,,twelfth,1,Not found: twelfth,Audio/NumOther.ini
-1,RANGE,120,,120_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,13,,thirteenth,0,Not found: thirteenth,Audio/NumOther.ini
-1,PLACE,14,,fourteenth,1,Not found: fourteenth,Audio/NumOther.ini
-1,RANGE,140,,140_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,15,,fifteenth,1,Not found: fifteenth,Audio/NumOther.ini
-1,RANGE,150,,150_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,16,,last,1,Not found: last,Audio/NumOther.ini
-1,RANGE,160,,160_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,180,,180_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,2,,second,1,Not found: second,Audio/NumOther.ini
-1,RANGE,200,,200_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,250,,250_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,PLACE,3,,third,1,Not found: third,Audio/NumOther.ini
-1,RANGE,30,,30_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,300,,300_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,350,,350_1.ogg,1,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
