id,type,category,name,translation,file
0,PACENOTE,CORNERS,HAIRPINLEFT,Hairpin Left,hp_left1.ogg
1,PACENOTE,CORNERS,90_LEFT,90 Left,two_left1.ogg
2,PACENOTE,CORNERS,KLEFT,K Left,three_left1.ogg
3,PACENOTE,CORNERS,MEDIUMLEFT,Medium Left,four_left1.ogg
4,PACENOTE,CORNERS,FASTLEFT,Fast Left,five_left1.ogg
5,PACENOTE,CORNERS,EASYLEFT,Easy Left,six_left1.ogg
6,PACENOTE,CORNERS,EASYRIGHT,Easy Right,six_right1.ogg
7,PACENOTE,CORNERS,FASTRIGHT,Fast Right,five_right1.ogg
8,PACENOTE,CORNERS,MEDIUMRIGHT,Medium Right,four_right1.ogg
9,PACENOTE,CORNERS,KRIGHT,K Right,three_right1.ogg
10,PACENOTE,CORNERS,90_RIGHT,90 Right,two_right1.ogg
11,PACENOTE,CORNERS,HAIRPINRIGHT,Hairpin Right,hp_right1.ogg
25,PACENOTE,CORNERS,FLATRIGHT,Flat Right,flat_right1.ogg
26,PACENOTE,CORNERS,FLATLEFT,Flat Left,flat_left1.ogg
102,PACENOTE,CORNERS,TWO_LEFT,1 Left,one_left1.ogg
112,PACENOTE,CORNERS,TWO_RIGHT,1 Right,one_right1.ogg
2026,PACENOTE,CORNERS,FLAT_SCALE,Flat,flat_scale1.ogg
2040,PACENOTE,CORNERS,ACUTE_LEFT,Acute Left,acute_left1.ogg
2041,PACENOTE,CORNERS,ACUTE_RIGHT,Acute Right,acute_right1.ogg
2050,PACENOTE,CORNERS,FLATRIGHTMINUS,6 Right+,six_right_plus1.ogg
2051,PACENOTE,CORNERS,QUICKRIGHT,5 Right+,five_right_plus1.ogg
2052,PACENOTE,CORNERS,EMRIGHT,4 Right+,four_right_plus1.ogg
2053,PACENOTE,CORNERS,PLUSRIGHT,3 Right+,three_right_plus1.ogg
2054,PACENOTE,CORNERS,MINUSRIGHT,1 Right+,one_right_plus1.ogg
2055,PACENOTE,CORNERS,VERYSLOWRIGHT,Hairpin Right+,hp_right_plus1.ogg
2056,PACENOTE,CORNERS,FLATLEFTMINUS,6 Left+,six_left_plus1.ogg
2057,PACENOTE,CORNERS,QUICKLEFT,5 Left+,five_left_plus1.ogg
2058,PACENOTE,CORNERS,EMLEFT,4 Left+,four_left_plus1.ogg
2059,PACENOTE,CORNERS,PLUSLEFT,3 Left+,three_left_plus1.ogg
2060,PACENOTE,CORNERS,MINUSLEFT,1 Left+,one_left_plus1.ogg
2061,PACENOTE,CORNERS,VERYSLOWLEFT,Hairpin Left+,hp_left_plus1.ogg
2074,PACENOTE,CORNERS,FLATMINUS_SCALE,6+,six_plus_scale1.ogg
2075,PACENOTE,CORNERS,EASY_SCALE,6,six_scale1.ogg
2076,PACENOTE,CORNERS,QUICK_SCALE,5+,five_plus_scale1.ogg
2077,PACENOTE,CORNERS,FAST_SCALE,5,five_scale1.ogg
2078,PACENOTE,CORNERS,EM_SCALE,4+,four_plus_scale1.ogg
2079,PACENOTE,CORNERS,PLUS_SCALE,3+,three_plus_scale1.ogg
2080,PACENOTE,CORNERS,K_SCALE,3,three_scale1.ogg
2081,PACENOTE,CORNERS,SQUARE_SCALE,2,two_scale1.ogg
2082,PACENOTE,CORNERS,MINUS_SCALE,1+,one_plus_scale1.ogg
2083,PACENOTE,CORNERS,SLOW_SCALE,1,one_scale1.ogg
2084,PACENOTE,CORNERS,VERYSLOW_SCALE,Hairpin+,hp_plus_scale1.ogg
2202,PACENOTE,CORNERS,SHORT_LEFT,Short Left,short_left1.ogg
2203,PACENOTE,CORNERS,SHORT_RIGHT,Short Right,short_right1.ogg
2205,PACENOTE,CORNERS,DONUT_RIGHT,Donut Right,donut_right1.ogg
2207,PACENOTE,CORNERS,HP_SCALE,Hairpin,hp_scale1.ogg
2208,PACENOTE,CORNERS,ACUTE_SCALE,Acute,acute_scale1.ogg
2247,PACENOTE,CORNERS,MEDIUM_SCALE,4,four_scale1.ogg
2262,PACENOTE,CORNERS,SQUARE_RIGHT_PLUS,2 Right+,two_right_plus1.ogg
2263,PACENOTE,CORNERS,SQUARE_LEFT_PLUS,2 Left+,two_left_plus1.ogg
2272,PACENOTE,CORNERS,SQUARE_PLUS_SCALE,2+,two_plus_scale1.ogg
