id,type,category,name,translation
216,PACENOTE,ADDITIONAL,FLATOUT,Flat
255,PACENOTE,ADDITIONAL,NARROW,Narrow
256,PACENOTE,ADDITIONAL,WIDE,Wide
293,PACENOTE,ADDITIONAL,CRAMPED,Cramped
342,PACENOTE,ADDITIONAL,CAMBER,Camber
343,PACENOTE,ADDITIONAL,NIU_REVERSE_CAMBER,Bad Camber (NIU)
353,PACENOTE,ADDITIONAL,TURN,Turn
355,PACENOTE,ADDITIONAL,BADCAMBER,Bad Camber
367,PACENOTE,ADDITIONAL,NIU_NEGATIVE_CAMBER,Bad Camber (NIU)
368,PACENOTE,ADDITIONAL,NIU_POSITIVE_CAMBER,Camber (NIU)
408,PACENOTE,ADDITIONAL,NIU_IN,In (NIU)
2038,PACENOTE,ADDITIONAL,SCALEPLUS,Scale Plus
2039,PACENOTE,ADDITIONAL,SCALEMINUS,Scale Minus
2085,PACENOTE,ADDITIONAL,REMEMBER,Remember
2086,PACENOTE,ADDITIONAL,PATIENT,Patient
2185,PACENOTE,ADDITIONAL,SUMPPU,Sumppu
2186,PACENOTE,ADDITIONAL,WIDENS,Widens
2209,PACENOTE,ADDITIONAL,PAST_JUNCTION,Past Junction
2216,PACENOTE,ADDITIONAL,EXTRAEXTRALONG,Very Very Long
2219,PACENOTE,ADDITIONAL,BIG_SUMPPU,Big Sumppu
2220,PACENOTE,ADDITIONAL,SMALL_SUMPPU,Small Sumppu
2221,PACENOTE,ADDITIONAL,ONTO_NARROWER_ROAD,Onto Narrower
2222,PACENOTE,ADDITIONAL,ONTO_WIDER_ROAD,Onto Wider
2234,PACENOTE,ADDITIONAL,GETS_FASTER,Gets Faster
2235,PACENOTE,ADDITIONAL,GETS_SLOWER,Gets Slower
2240,PACENOTE,ADDITIONAL,FICKLE,Fickle
2244,PACENOTE,ADDITIONAL,IMPORTANT,Important
2248,PACENOTE,ADDITIONAL,FUCKINGLONG,Fucking Long
2276,PACENOTE,ADDITIONAL,DEEP,Deep
2277,PACENOTE,ADDITIONAL,TRUST,Trust
2622,PACENOTE,ADDITIONAL,TWO_PARTS,Two Parts
2623,PACENOTE,ADDITIONAL,THREE_PARTS,Three Parts
2624,PACENOTE,ADDITIONAL,FOUR_PARTS,Four Parts
2625,PACENOTE,ADDITIONAL,FIVE_PARTS,Five Parts
