id,type,category,name,translation
2027,PACENOTE,ADJECTIVES,TIGHTENSTOACUTE,Tightens Acute
2028,PACENOTE,ADJECTIVES,TOACUTE,_Acute
2031,PACENOTE,ADJECTIVES,NIPS,Nips
2032,PACENOTE,ADJECTIVES,OPENSLITTLE,Opens A Bit
2033,PACENOTE,ADJECTIVES,OPENSLONG,Opens Long
2034,PACENOTE,ADJECTIVES,OPENSVERYLONG,Opens Very Long
2035,PACENOTE,ADJECTIVES,OPENSEARLY,Opens Early
2036,PACENOTE,ADJECTIVES,OPENSATJUNCTION,Opens At Junction
2037,PACENOTE,ADJECTIVES,OPENSOVERCREST,Opens Over Crest
2042,PACENOTE,ADJECTIVES,TIGHTENSEARLY,Tightens Early
2043,PACENOTE,ADJECTIVES,TIGHTENSLITTLE,Tightens A Bit
2044,PACENOTE,ADJECTIVES,TIGHTENSLONG,Tightens Long
2045,PACENOTE,ADJECTIVES,TIGHTENSVERYLONG,Tightens Very Long
2046,PACENOTE,ADJECTIVES,TIGHTENSATJUNCTION,Tightens At Junction
2047,PACENOTE,ADJECTIVES,TIGHTENSOVERCREST,Tightens Over Crest
2062,PACENOTE,ADJECTIVES,TIGHTENSTOFLATMINUS,Tightens 6+
2063,PACENOTE,ADJECTIVES,TIGHTENSTOQUICK,Tightens 5+
2064,PACENOTE,ADJECTIVES,TIGHTENSTOEM,Tightens 4+
2065,PACENOTE,ADJECTIVES,TIGHTENSTOPLUS,Tightens 3+
2066,PACENOTE,ADJECTIVES,TIGHTENSTOMINUS,Tightens 1+
2067,PACENOTE,ADJECTIVES,TIGHTENSTOVERYSLOW,Tightens Hairpin+
2068,PACENOTE,ADJECTIVES,TOFLATMINUS,_6+
2069,PACENOTE,ADJECTIVES,TOQUICK,_5+
2070,PACENOTE,ADJECTIVES,TOEM,_4+
2071,PACENOTE,ADJECTIVES,TOPLUS,_3+
2072,PACENOTE,ADJECTIVES,TOMINUS,_1+
2073,PACENOTE,ADJECTIVES,TOVERYSLOW,_Hairpin+
2104,PACENOTE,ADJECTIVES,NIU_LOIVA_ALKU,Late (NIU)
2187,PACENOTE,ADJECTIVES,TIGHTENSSUMPPU,Tightens Sumppu
2249,PACENOTE,ADJECTIVES,TIGHTENSVERYVERYLONG,Tightens Very Very Long
2250,PACENOTE,ADJECTIVES,TIGHTENSFUCKINGLONG,Tightens Fucking Long
2251,PACENOTE,ADJECTIVES,OPENSVERYVERYLONG,Opens Very Very Long
2252,PACENOTE,ADJECTIVES,OPENSFUCKINGLONG,Opens Fucking Long
2253,PACENOTE,ADJECTIVES,TIGHTENSSHARP,Tightens Sharp
2254,PACENOTE,ADJECTIVES,TIGHTENSROUND,Tightens Round
2255,PACENOTE,ADJECTIVES,OPENSSHARP,Opens Sharp
2256,PACENOTE,ADJECTIVES,OPENSROUND,Opens Round
2264,PACENOTE,ADJECTIVES,TIGHTENSTOSQUARE_PLUS,Tightens 2+
2265,PACENOTE,ADJECTIVES,TOSQUARE_PLUS,_2+
