id,type,category,name,translation
2176,PACENOTE,CAUTIONS,BRAKE_INTO,Brake Into
2177,PACENOTE,CAUTIONS,BRAKE_AND,Brake And
2178,PACENOTE,CAUTIONS,BRAKE_20,Brake 20
2179,PACENOTE,CAUTIONS,BRAKE_30,Brake 30
2180,PACENOTE,CAUTIONS,BRAKE_40,Brake 40
2181,PACENOTE,CAUTIONS,BRAKE_50,Brake 50
2182,PACENOTE,CAUTIONS,SLIPPY_BRAKING,Slippy Braking
2183,PACENOTE,CAUTIONS,SLIPPY_ENTRY,Slippy Entry
2184,PACENOTE,CAUTIONS,SLIPPY_EXIT,Slippy Exit
2204,PACENOTE,CAUTIONS,SLIPPERY_MAYBE,Maybe Slippy
2217,PACENOTE,CAUTIONS,VERY_SLIPPY,Very Slippy
2228,PACENOTE,CAUTIONS,PRECISE,Precise
2230,PACENOTE,CAUTIONS,BUMPY_BRAKING,Bumpy Braking
2259,PACENOTE,CAUTIONS,BRAKE_10,Brake 10
2270,PACENOTE,CAUTIONS,CARE_NOLINK,Care
2271,PACENOTE,CAUTIONS,CAUTION_NOLINK,Caution
2275,PACENOTE,CAUTIONS,NIU_BRAKE_JATKUU,Brake And (NIU)
2604,PACENOTE,CAUTIONS,NIU_WATCH,Precise (NIU)
