id,type,category,name,translation
370,PACENOTE,CONSTRUCTION,NA_FENCE,Fence (N/A)
371,PACENOTE,CONSTRUCTION,NA_WALL,Wall (N/A)
372,PACENOTE,CONSTRUCTION,NA_HOUSE,House (N/A)
375,PACENOTE,CONSTRUCTION,NA_MAST,Mast (N/A)
376,PACENOTE,CONSTRUCTION,NIU_POST,Post (NIU)
377,PACENOTE,CONSTRUCTION,NA_ISLAND,Island (N/A)
382,PACENOTE,CONSTRUCTION,NA_ROAD,Road (N/A)
387,PACENOTE,CONSTRUCTION,NA_PATH,Path (N/A)
399,PACENOTE,CONSTRUCTION,NA_ROUNDABOUT,Roundabout (N/A)
443,PACENOTE,CONSTRUCTION,NA_WOODEN_FENCE,Wooden Fence (N/A)
2135,PACENOTE,CONSTRUCTION,BALE_IN,Bale In
2136,PACENOTE,CONSTRUCTION,BALE_OUT,Bale Out
2137,PACENOTE,CONSTRUCTION,TIRES_IN,Tires In
2138,PACENOTE,CONSTRUCTION,TIRES_OUT,Tires Out
2139,PACENOTE,CONSTRUCTION,ROCK_IN,Stone In
2140,PACENOTE,CONSTRUCTION,ROCK_OUT,Stone Out
2141,PACENOTE,CONSTRUCTION,FENCE_IN,Fence In
2142,PACENOTE,CONSTRUCTION,FENCE_OUT,Fence Out
2143,PACENOTE,CONSTRUCTION,TREE_IN,Tree In
2144,PACENOTE,CONSTRUCTION,TREE_OUT,Tree Out
2145,PACENOTE,CONSTRUCTION,DITCH_IN,Ditch In
2146,PACENOTE,CONSTRUCTION,DITCH_OUT,Ditch Out
2147,PACENOTE,CONSTRUCTION,DROP_IN,Drop In
2148,PACENOTE,CONSTRUCTION,DROP_OUT,Drop Out
2149,PACENOTE,CONSTRUCTION,HOUSE_IN,House In
2150,PACENOTE,CONSTRUCTION,HOUSE_OUT,House Out
2151,PACENOTE,CONSTRUCTION,NIU_BARRIER_IN,Fence In (NIU)
2152,PACENOTE,CONSTRUCTION,NIU_BARRIER_OUT,Fence Out (NIU)
2153,PACENOTE,CONSTRUCTION,SIGN_IN,Sign In
2154,PACENOTE,CONSTRUCTION,SIGN_OUT,Sign Out
2155,PACENOTE,CONSTRUCTION,POST_IN,Post In
2156,PACENOTE,CONSTRUCTION,POST_OUT,Post Out
2157,PACENOTE,CONSTRUCTION,LOG_IN,Log In
2158,PACENOTE,CONSTRUCTION,LOG_OUT,Log Out
2200,PACENOTE,CONSTRUCTION,LOGS_IN,Logs In
2201,PACENOTE,CONSTRUCTION,LOGS_OUT,Logs Out
