id,type,category,name,translation
378,PACENOTE,CORNERS,CHICANE,Chicane
2026,PACENOTE,CORNERS,FLAT_SCALE,Flat
2040,PACENOTE,CORNERS,ACUTE_LEFT,Acute Left
2041,PACENOTE,CORNERS,ACUTE_RIGHT,Acute Right
2050,PACENOTE,CORNERS,FLATRIGHTMINUS,6 Right+
2051,PACENOTE,CORNERS,QUICKRIGHT,5 Right+
2052,PACENOTE,CORNERS,EMRIGHT,4 Right+
2053,PACENOTE,CORNERS,PLUSRIGHT,3 Right+
2054,PACENOTE,CORNERS,MINUSRIGHT,1 Right+
2055,PACENOTE,CORNERS,VERYSLOWRIGHT,Hairpin Right+
2056,PACENOTE,CORNERS,FLATLEFTMINUS,6 Left+
2057,PACENOTE,CORNERS,QUICKLEFT,5 Left+
2058,PACENOTE,CORNERS,EMLEFT,4 Left+
2059,PACENOTE,CORNERS,PLUSLEFT,3 Left+
2060,PACENOTE,CORNERS,MINUSLEFT,1 Left+
2061,PACENOTE,CORNERS,VERYSLOWLEFT,Hairpin Left+
2074,PACENOTE,CORNERS,FLATMINUS_SCALE,6+
2075,PACENOTE,CORNERS,EASY_SCALE,6
2076,PACENOTE,CORNERS,QUICK_SCALE,5+
2077,PACENOTE,CORNERS,FAST_SCALE,5
2078,PACENOTE,CORNERS,EM_SCALE,4+
2079,PACENOTE,CORNERS,PLUS_SCALE,3+
2080,PACENOTE,CORNERS,K_SCALE,3
2081,PACENOTE,CORNERS,SQUARE_SCALE,2
2082,PACENOTE,CORNERS,MINUS_SCALE,1+
2083,PACENOTE,CORNERS,SLOW_SCALE,1
2084,PACENOTE,CORNERS,VERYSLOW_SCALE,Hairpin+
2202,PACENOTE,CORNERS,SHORT_LEFT,Short Left
2203,PACENOTE,CORNERS,SHORT_RIGHT,Short Right
2205,PACENOTE,CORNERS,DONUT_RIGHT,Donut Right
2206,PACENOTE,CORNERS,DONUT_LEFT,Donut Left
2207,PACENOTE,CORNERS,HP_SCALE,Hairpin
2208,PACENOTE,CORNERS,ACUTE_SCALE,Acute
2226,PACENOTE,CORNERS,LEFT_OVER,Left Over_(dist.)
2227,PACENOTE,CORNERS,RIGHT_OVER,Right Over_(dist.)
2247,PACENOTE,CORNERS,MEDIUM_SCALE,4
2262,PACENOTE,CORNERS,SQUARE_RIGHT_PLUS,2 Right+
2263,PACENOTE,CORNERS,SQUARE_LEFT_PLUS,2 Left+
2272,PACENOTE,CORNERS,SQUARE_PLUS_SCALE,2+
9999,PACENOTE,CORNERS,LINE_CHANGE,
