id,type,category,name,translation
2093,PACENOTE,LINE,TWISTY_FROMLEFT,Twisty From Left
2094,PACENOTE,LINE,TWISTY_FROMRIGHT,Twisty From Right
2095,PACENOTE,LINE,DONTBLOCK,Post
2096,PACENOTE,LINE,GRIP_MIDDLE,Grip Middle
2097,PACENOTE,LINE,GRIP_IN,Grip In
2098,PACENOTE,LINE,GRIP_OUT,Grip Out
2099,PACENOTE,LINE,GO_ROUND,Go Round
2159,PACENOTE,LINE,CUT_THROUGH,Cut Through
2197,PACENOTE,LINE,ONTO_STRAIGHT,Onto Straight
2229,PACENOTE,LINE,STAY_OUT,Stay Out
2242,PACENOTE,LINE,DOUBLE_DONT,Double Don't
2243,PACENOTE,LINE,TRIPLE_DONT,Triple Don't
2266,PACENOTE,LINE,POST_EARLY,Post Early
2267,PACENOTE,LINE,POST_LATE,Post Late
2268,PACENOTE,LINE,POSTS,Posts
2273,PACENOTE,LINE,LATE_CUT,Late Cut
2405,PACENOTE,LINE,LEFTISH,Leftish
2406,PACENOTE,LINE,RIGHTISH,Rightish
