id,type,category,name,translation
149,PACENOTE,LINKS,10,10
150,PACENOTE,LINKS,20,20
435,PACENOTE,LINKS,NEXT_LAP,Onto Next Lap
436,PACENOTE,LINKS,TAKE_EXIT,Onto Finish
2025,PACENOTE,LINKS,NIU_JATKUU,And (NIU)
2110,PACENOTE,LINKS,DIST21,21
2111,PACENOTE,LINKS,DIST31,31
2112,PACENOTE,LINKS,DIST41,41
2113,PACENOTE,LINKS,DIST51,51
2114,PACENOTE,LINKS,DIST61,61
2115,PACENOTE,LINKS,DIST71,71
2116,PACENOTE,LINKS,DIST81,81
2117,PACENOTE,LINKS,DIST101,101
2118,PACENOTE,LINKS,DIST121,121
2119,PACENOTE,LINKS,DIST141,141
2120,PACENOTE,LINKS,DIST151,151
2121,PACENOTE,LINKS,DIST161,161
2122,PACENOTE,LINKS,DIST181,181
2123,PACENOTE,LINKS,DIST201,201
2124,PACENOTE,LINKS,DIST251,251
2125,PACENOTE,LINKS,DIST301,301
2126,PACENOTE,LINKS,DIST351,351
2127,PACENOTE,LINKS,DIST401,401
2128,PACENOTE,LINKS,DIST451,451
2129,PACENOTE,LINKS,DIST501,501
2130,PACENOTE,LINKS,DIST601,601
2131,PACENOTE,LINKS,DIST701,701
2132,PACENOTE,LINKS,DIST801,801
2133,PACENOTE,LINKS,DIST901,901
2134,PACENOTE,LINKS,DIST1001,1001
2224,PACENOTE,LINKS,AGAIN,Again
