id,type,category,name,translation
292,PACENOTE,OBSTACLES,NIU_BUMPY,Bumps (NIU)
362,PACENOTE,OBSTACLES,DROPS,Drops
369,PACENOTE,OBSTACLES,NIU_COMPRESSION,Dip (NIU)
2087,PACENOTE,OBSTACLES,SMALL_JUMP,Small Jump
2088,PACENOTE,OBSTACLES,OVER_BIG_JUMP,Over Big Jump
2089,PACENOTE,OBSTACLES,CONTINUESOVERSMALLCREST,Continues Over Small Crest
2090,PACENOTE,OBSTACLES,LONGCREST,Long Crest
2091,PACENOTE,OBSTACLES,RUT,Rut
2092,PACENOTE,OBSTACLES,TO_BUMP,(Jump) To Bump
2188,PACENOTE,OBSTACLES,JUMP_MAYBE,Jump Maybe
2189,PACENOTE,OBSTACLES,OVER_SMALL_JUMP,Over Small Jump
2190,PACENOTE,OBSTACLES,OVER_JUMP_DAB,Over Jump Dab
2191,PACENOTE,OBSTACLES,OVERSMALLCREST,Over Small Crest
2192,PACENOTE,OBSTACLES,OVERLONGCREST,Over Long Crest
2193,PACENOTE,OBSTACLES,OVERTWOCRESTS,Over Two Crests
2194,PACENOTE,OBSTACLES,OVERTHREECRESTS,Over Three Crests
2195,PACENOTE,OBSTACLES,DOUBLECREST,Double Crest
2196,PACENOTE,OBSTACLES,DOUBLE_JUMP,Double Jump
2210,PACENOTE,OBSTACLES,ONTO_BRIDGE,Onto Bridge
2211,PACENOTE,OBSTACLES,NARROW_BRIDGE,Narrow Bridge
2212,PACENOTE,OBSTACLES,ONTO_NARROW_BRIDGE,Onto Narrow Bridge
2213,PACENOTE,OBSTACLES,THROUGH_GATE,Through Gate
2214,PACENOTE,OBSTACLES,NARROW_GATE,Narrow Gate
2215,PACENOTE,OBSTACLES,THROUGH_NARROW_GATE,Through Narrow Gate
2225,PACENOTE,OBSTACLES,TO_CREST,To Crest
2231,PACENOTE,OBSTACLES,OVER_NARROW_BRIDGE,Over Narrow Bridge
2237,PACENOTE,OBSTACLES,BUMPS_OVER,Bumps Over_(dist.)
2238,PACENOTE,OBSTACLES,OVER_ROCKS,Over Rocks
2241,PACENOTE,OBSTACLES,TO_JUMP,To Jump
2245,PACENOTE,OBSTACLES,CREST_TO_LEFT,Crest To Left
2246,PACENOTE,OBSTACLES,CREST_TO_RIGHT,Crest To Right
2257,PACENOTE,OBSTACLES,OVER_EARLY_CREST,Over Early Crest
2258,PACENOTE,OBSTACLES,OVER_LATE_CREST,Over Late Crest
2269,PACENOTE,OBSTACLES,OVERCREST_NOLINK,Over Crest
2501,PACENOTE,OBSTACLES,NIU_SMALL_CREST_FABZ,Small Crest (NIU)
2503,PACENOTE,OBSTACLES,NIU_BROW,Crest (NIU)
2507,PACENOTE,OBSTACLES,TWO_BALES,Two Bales
2508,PACENOTE,OBSTACLES,THREE_BALES,Three Bales
2509,PACENOTE,OBSTACLES,FOUR_BALES,Four Bales
2512,PACENOTE,OBSTACLES,LOGS,Logs
2515,PACENOTE,OBSTACLES,GATE,Gate
2516,PACENOTE,OBSTACLES,BIG_JUMP,Big Jump
2521,PACENOTE,OBSTACLES,BALES,Bales
2611,PACENOTE,OBSTACLES,BALE,Bale
2626,PACENOTE,OBSTACLES,FIVE_BALES,Five Bales
