id,type,category,name,translation,file,translation-new
2027,PACENOTE,ADJECTIVES,TIGHTENSTOACUTE,Tightens Acute,tightens_sharp.ogg,Schliesst auf Spitz
2028,PACENOTE,ADJECTIVES,TOACUTE,_Acute,in_sharp.ogg,In Spitz
2031,PACENOTE,ADJECTIVES,NIPS,Nips,tightens_hard_late.ogg,Schliesst Spät Hart
2032,PACENOTE,ADJECTIVES,OPENSLITTLE,Opens A Bit,opens_light.ogg,Öffnet Leicht
2033,PACENOTE,ADJECTIVES,OPENSLONG,Opens Long,opens_long.ogg,Öffnet Lang
2034,PACENOTE,ADJECTIVES,OPENSVERYLONG,Opens Very Long,opens_very_long.ogg,Öffnet Sehr Spät
2035,PACENOTE,ADJECTIVES,OPENSEARLY,Opens Early,opens_early.ogg,Öffnet Früh
2036,PACENOTE,ADJECTIVES,OPENSATJUNCTION,Opens At Junction,opens_junction.ogg,Öffnet An Kreuzung
2037,PACENOTE,ADJECTIVES,OPENSOVERCREST,Opens Over Crest,opens_overcrest,Öffnet Über Kuppe
2042,PACENOTE,ADJECTIVES,TIGHTENSEARLY,Tightens Early,tightens_early.ogg,Schliesst Früh
2043,PACENOTE,ADJECTIVES,TIGHTENSLITTLE,Tightens A Bit,tightens_light.ogg,Schliesst Leicht
2044,PACENOTE,ADJECTIVES,TIGHTENSLONG,Tightens Long,tightens_long.ogg,Schliesst Spät
2045,PACENOTE,ADJECTIVES,TIGHTENSVERYLONG,Tightens Very Long,tightens_very_long.ogg,Schliesst Sehr Spät
2046,PACENOTE,ADJECTIVES,TIGHTENSATJUNCTION,Tightens At Junction,tightens_junction.ogg,Schliesst An Kreuzung
2047,PACENOTE,ADJECTIVES,TIGHTENSOVERCREST,Tightens Over Crest,tightens_overcrest.ogg,Schliesst Über Kuppe
2062,PACENOTE,ADJECTIVES,TIGHTENSTOFLATMINUS,Tightens 6+,tightens_six_plus.ogg,Schliesst auf sechs+
2063,PACENOTE,ADJECTIVES,TIGHTENSTOQUICK,Tightens 5+,tightens_five_plus.ogg,Schliesst auf fünf+
2064,PACENOTE,ADJECTIVES,TIGHTENSTOEM,Tightens 4+,tightens_four_plus.ogg,Schliesst auf vier+
2065,PACENOTE,ADJECTIVES,TIGHTENSTOPLUS,Tightens 3+,tightens_three_plus.ogg,Schliesst auf drei+
2066,PACENOTE,ADJECTIVES,TIGHTENSTOMINUS,Tightens 1+,tightens_one_plus.ogg,Schliesst auf eins+
2067,PACENOTE,ADJECTIVES,TIGHTENSTOVERYSLOW,Tightens Hairpin+,tightens_hairpin_plus.ogg,Schliesst auf Kehre+
2068,PACENOTE,ADJECTIVES,TOFLATMINUS,_6+,in_six_plus.ogg,In sechs+
2069,PACENOTE,ADJECTIVES,TOQUICK,_5+,in_five_plus.ogg,In fünf+
2070,PACENOTE,ADJECTIVES,TOEM,_4+,in_four_plus.ogg,In vier+
2071,PACENOTE,ADJECTIVES,TOPLUS,_3+,in_three_plus.ogg,In drei+
2072,PACENOTE,ADJECTIVES,TOMINUS,_1+,in_one_plus.ogg,In eins+
2073,PACENOTE,ADJECTIVES,TOVERYSLOW,_Hairpin+,in_hairpin_plus.ogg,In Kehre+
2104,PACENOTE,ADJECTIVES,NIU_LOIVA_ALKU,Late (NIU),late.ogg,Spät
2187,PACENOTE,ADJECTIVES,TIGHTENSSUMPPU,Tightens Sumppu,,Quetscht
2249,PACENOTE,ADJECTIVES,TIGHTENSVERYVERYLONG,Tightens Very Very Long,,Schliesst Sehr Sehr Spät
2250,PACENOTE,ADJECTIVES,TIGHTENSFUCKINGLONG,Tightens Fucking Long,,Schliesst Verdammt Spät
2251,PACENOTE,ADJECTIVES,OPENSVERYVERYLONG,Opens Very Very Long,,Öffnet Sehr Sehr Spät
2252,PACENOTE,ADJECTIVES,OPENSFUCKINGLONG,Opens Fucking Long,,Öffnet Verdammt Spät
2253,PACENOTE,ADJECTIVES,TIGHTENSSHARP,Tightens Sharp,,Schliesst Scharf
2254,PACENOTE,ADJECTIVES,TIGHTENSROUND,Tightens Round,,Schliesst Rund
2255,PACENOTE,ADJECTIVES,OPENSSHARP,Opens Sharp,,Öffnet Scharf
2256,PACENOTE,ADJECTIVES,OPENSROUND,Opens Round,,Öffnet Rund
2264,PACENOTE,ADJECTIVES,TIGHTENSTOSQUARE_PLUS,Tightens 2+,tightens_two_plus.ogg,Schliesst auf zwei+
2265,PACENOTE,ADJECTIVES,TOSQUARE_PLUS,_2+,in_two_plus.ogg,In zwei+
