id,type,category,name,translation,file,translation-new
378,PACENOTE,CORNERS,CHICANE,Chicane,chicane.ogg,Schikane
2026,PACENOTE,CORNERS,FLAT_SCALE,Flat,full.ogg,Voll
2040,PACENOTE,CORNERS,ACUTE_LEFT,Acute Left,sharp_left.ogg,Spitz Links
2041,PACENOTE,CORNERS,ACUTE_RIGHT,Acute Right,sharp_right.ogg,Spitz Rechts
2050,PACENOTE,CORNERS,FLATRIGHTMINUS,6 Right+,six_right_plus.ogg,sechs Rechts+
2051,PACENOTE,CORNERS,QUICKRIGHT,5 Right+,five_right_plus.ogg,fünf Rechts+
2052,PACENOTE,CORNERS,EMRIGHT,4 Right+,four_right_plus.ogg,vier Rechts+
2053,PACENOTE,CORNERS,PLUSRIGHT,3 Right+,three_right_plus.ogg,drei Rechts+
2054,PACENOTE,CORNERS,MINUSRIGHT,1 Right+,one_right_plus.ogg,eins Rechts+
2055,PACENOTE,CORNERS,VERYSLOWRIGHT,Hairpin Right+,hairpin_right_plus.ogg,Kehre Rechts+
2056,PACENOTE,CORNERS,FLATLEFTMINUS,6 Left+,six_left_plus.ogg,sechs Links+
2057,PACENOTE,CORNERS,QUICKLEFT,5 Left+,five_left_plus.ogg,fünf Links+
2058,PACENOTE,CORNERS,EMLEFT,4 Left+,four_left_plus.ogg,vier Links+
2059,PACENOTE,CORNERS,PLUSLEFT,3 Left+,three_left_plus.ogg,drei Links+
2060,PACENOTE,CORNERS,MINUSLEFT,1 Left+,one_left_plus.ogg,eins Links+
2061,PACENOTE,CORNERS,VERYSLOWLEFT,Hairpin Left+,hairpin_left_plus.ogg,Kehre Links+
2074,PACENOTE,CORNERS,FLATMINUS_SCALE,6+,six_plus.ogg,sechs+
2075,PACENOTE,CORNERS,EASY_SCALE,6,6.ogg,sechs
2076,PACENOTE,CORNERS,QUICK_SCALE,5+,five_plus.ogg,fünf+
2077,PACENOTE,CORNERS,FAST_SCALE,5,5.ogg,fünf
2078,PACENOTE,CORNERS,EM_SCALE,4+,four_plus.ogg,vier+
2079,PACENOTE,CORNERS,PLUS_SCALE,3+,three_plus.ogg,drei+
2080,PACENOTE,CORNERS,K_SCALE,3,3.ogg,drei
2081,PACENOTE,CORNERS,SQUARE_SCALE,2,2.ogg,zwei
2082,PACENOTE,CORNERS,MINUS_SCALE,1+,one_plus.ogg,eins+
2083,PACENOTE,CORNERS,SLOW_SCALE,1,1.ogg,eins
2084,PACENOTE,CORNERS,VERYSLOW_SCALE,Hairpin+,hairpin_plus.ogg,Kehre+
2202,PACENOTE,CORNERS,SHORT_LEFT,Short Left,short_left.ogg,Kurz Links
2203,PACENOTE,CORNERS,SHORT_RIGHT,Short Right,short_right.ogg,Kurz Rechts
2205,PACENOTE,CORNERS,DONUT_RIGHT,Donut Right,,Donut Rechts
2206,PACENOTE,CORNERS,DONUT_LEFT,Donut Left,,Donut Links
2207,PACENOTE,CORNERS,HP_SCALE,Hairpin,hairpin.ogg,Kehre
2208,PACENOTE,CORNERS,ACUTE_SCALE,Acute,sharp.ogg,Spitz
2226,PACENOTE,CORNERS,LEFT_OVER,Left Over_(dist.),left_over.ogg,Links Über
2227,PACENOTE,CORNERS,RIGHT_OVER,Right Over_(dist.),right_over.ogg,Rechts Über
2247,PACENOTE,CORNERS,MEDIUM_SCALE,4,4.ogg,vier
2262,PACENOTE,CORNERS,SQUARE_RIGHT_PLUS,2 Right+,two_right_plus.ogg,zwei Rechts+
2263,PACENOTE,CORNERS,SQUARE_LEFT_PLUS,2 Left+,two_left_plus.ogg,zwei Links+
2272,PACENOTE,CORNERS,SQUARE_PLUS_SCALE,2+,two_plus.ogg,zwei+
9999,PACENOTE,CORNERS,LINE_CHANGE,,,
