id,type,category,name,translation,file,translation-new
400,PACENOTE,PREPOSITIONS,NA_THROUGH,Through (N/A),through.ogg,Durch
401,PACENOTE,PREPOSITIONS,NA_AFTER,After (N/A),after.ogg,Nach
402,PACENOTE,PREPOSITIONS,NA_NEAR,Near (N/A),near.ogg,nähe
403,PACENOTE,PREPOSITIONS,NA_ON,On (N/A),on.ogg,Auf
404,PACENOTE,PREPOSITIONS,NA_UNTIL,Until (N/A),until.ogg,Bis
405,PACENOTE,PREPOSITIONS,NA_AT,At (N/A),at.ogg,Bei
406,PACENOTE,PREPOSITIONS,NA_BEFORE,Before (N/A),before.ogg,Vor
407,PACENOTE,PREPOSITIONS,NA_OVER,Over (N/A),over.ogg,Über
409,PACENOTE,PREPOSITIONS,NA_BEHIND,Behind (N/A),behind.ogg,Hinter
410,PACENOTE,PREPOSITIONS,NA_FOR,For (N/A),for.ogg,Für
413,PACENOTE,PREPOSITIONS,NA_THEN,Then (N/A),then.ogg,
414,PACENOTE,PREPOSITIONS,NA_OFF,Off (N/A),off.ogg,Aus
2160,PACENOTE,PREPOSITIONS,AT_TREE,At Tree,at_tree1.ogg,Bei Baum
2161,PACENOTE,PREPOSITIONS,AT_TREES,At Trees,at_trees1.ogg,Bei Bäumen
2162,PACENOTE,PREPOSITIONS,AT_BALE,At Bale,at_bale1.ogg,Bei Ballen
2163,PACENOTE,PREPOSITIONS,AT_ROCK,At Rock,at_rock1.ogg,Bei Fels
2164,PACENOTE,PREPOSITIONS,AT_GUARDRAIL,At Guardrail,at_guardrail1.ogg,Bei Leitplanke
2165,PACENOTE,PREPOSITIONS,AT_BANNER,At Banner,at_banner1.ogg,Bei Banner
2166,PACENOTE,PREPOSITIONS,AT_TAPE,At Tape,at_tape1.ogg,Bei Band
2167,PACENOTE,PREPOSITIONS,AT_FENCE,At Fence,at_fence1.ogg,Bei Zaun
2168,PACENOTE,PREPOSITIONS,AT_FLAG,At Flag,at_flag1.ogg,Bei Flagge
2169,PACENOTE,PREPOSITIONS,AT_HOUSE,At House,at_house1.ogg,Bei Haus
2170,PACENOTE,PREPOSITIONS,AT_SIGN,At Sign,at_sign1.ogg,Bei Schild
2171,PACENOTE,PREPOSITIONS,AT_POST,At Post,at_post1.ogg,Bei Pfahl
2172,PACENOTE,PREPOSITIONS,AT_JUNCTION,At Junction,at_junction1.ogg,Bei Kreuzung
2173,PACENOTE,PREPOSITIONS,AT_CREST,At Crest,at_crest1.ogg,Bei Kuppe
2174,PACENOTE,PREPOSITIONS,AT_GATE,At Gate,at_gate1.ogg,Bei Tor
2175,PACENOTE,PREPOSITIONS,AT_BRIDGE,At Bridge,at_bridge1.ogg,Bei Brücke
2198,PACENOTE,PREPOSITIONS,AT_EXIT,At Exit,at_exit1.ogg,Bei Ausfahrt
2199,PACENOTE,PREPOSITIONS,AT_OPENING,At Opening,at_opening1.ogg,Wenn öffnet
2218,PACENOTE,PREPOSITIONS,AT_BUSH,At Bush,at_bush1.ogg,Bei Busch
2261,PACENOTE,PREPOSITIONS,AT_LOG,At Log,at_log1.ogg,Bei Stamm
2274,PACENOTE,PREPOSITIONS,AT_LOGS,At Logs,at_logs1.ogg,Bei Stämmen
