id,type,category,name,translation,file,translation-new
149,PACENOTE,LINKS,10,10,10_1.ogg,zehn
150,PACENOTE,LINKS,20,20,20_1.ogg,zwanzig
215,PACENOTE,DRIVING,GO_FULL,Go,go1.ogg,Vollgas
216,PACENOTE,ADDITIONAL,FLATOUT,Flat,flat1.ogg,Vollgas
219,PACENOTE,DRIVING,HANDBRAKE,Handbrake,handbrake1.ogg,Handbremse
244,PACENOTE,DRIVING,SLOWING,Slowing,slowing1.ogg,Langsamer
255,PACENOTE,ADDITIONAL,NARROW,Narrow,narrow1.ogg,Schmal
256,PACENOTE,ADDITIONAL,WIDE,Wide,wide1.ogg,Breit
270,PACENOTE,DRIVING,NA_UNDERSTEER,Understeer (N/A),understeer.ogg,Untersteuert
273,PACENOTE,DRIVING,NA_DRAWS_IN,Draws In (N/A),draws_in.ogg,Zieht Rein
291,PACENOTE,SURFACE,DIRTY,Shit,shit1.ogg,Verschmutzt
292,PACENOTE,OBSTACLES,NIU_BUMPY,Bumps (NIU),bumps1.ogg,Schläge
293,PACENOTE,ADDITIONAL,CRAMPED,Cramped,cramped1.ogg,Eingeengt
342,PACENOTE,ADDITIONAL,CAMBER,Camber,camber1.ogg,Fällt Innen
343,PACENOTE,ADDITIONAL,NIU_REVERSE_CAMBER,Bad Camber (NIU),WC1.ogg,Fällt Außen
353,PACENOTE,ADDITIONAL,TURN,Turn,turn1.ogg,Wende
355,PACENOTE,ADDITIONAL,BADCAMBER,Bad Camber,badcamber1.ogg,Fällt Außen
362,PACENOTE,OBSTACLES,DROPS,Drops,drops1.ogg,Fällt ab
367,PACENOTE,ADDITIONAL,NIU_NEGATIVE_CAMBER,Bad Camber (NIU),badcamber1.ogg,
368,PACENOTE,ADDITIONAL,NIU_POSITIVE_CAMBER,Camber (NIU),camber1.ogg,Fällt Innen
369,PACENOTE,OBSTACLES,NIU_COMPRESSION,Dip (NIU),dip1.ogg,Kompression
370,PACENOTE,CONSTRUCTION,NA_FENCE,Fence (N/A),fence.ogg,Zaun
371,PACENOTE,CONSTRUCTION,NA_WALL,Wall (N/A),wall.ogg,Mauer
372,PACENOTE,CONSTRUCTION,NA_HOUSE,House (N/A),house.ogg,Haus
375,PACENOTE,CONSTRUCTION,NA_MAST,Mast (N/A),mast.ogg,Mast
376,PACENOTE,CONSTRUCTION,NIU_POST,Post (NIU),post1.ogg,Pfosten
377,PACENOTE,CONSTRUCTION,NA_ISLAND,Island (N/A),island.ogg,Insel
378,PACENOTE,CORNERS,CHICANE,Chicane,chicane1.ogg,Schikane
382,PACENOTE,CONSTRUCTION,NA_ROAD,Road (N/A),road.ogg,Straße
387,PACENOTE,CONSTRUCTION,NA_PATH,Path (N/A),path.ogg,Weg
399,PACENOTE,CONSTRUCTION,NA_ROUNDABOUT,Roundabout (N/A),roundabout.ogg,Kreisverkehr
400,PACENOTE,PREPOSITIONS,NA_THROUGH,Through (N/A),through.ogg,Durch
401,PACENOTE,PREPOSITIONS,NA_AFTER,After (N/A),after.ogg,Nach
402,PACENOTE,PREPOSITIONS,NA_NEAR,Near (N/A),near.ogg,nähe
403,PACENOTE,PREPOSITIONS,NA_ON,On (N/A),on.ogg,Auf
404,PACENOTE,PREPOSITIONS,NA_UNTIL,Until (N/A),until.ogg,Bis
405,PACENOTE,PREPOSITIONS,NA_AT,At (N/A),at.ogg,Bei
406,PACENOTE,PREPOSITIONS,NA_BEFORE,Before (N/A),before.ogg,Vor
407,PACENOTE,PREPOSITIONS,NA_OVER,Over (N/A),over.ogg,Über
408,PACENOTE,ADDITIONAL,NIU_IN,In (NIU),in1.ogg,In
409,PACENOTE,PREPOSITIONS,NA_BEHIND,Behind (N/A),behind.ogg,Hinter
410,PACENOTE,PREPOSITIONS,NA_FOR,For (N/A),for.ogg,Für
413,PACENOTE,PREPOSITIONS,NA_THEN,Then (N/A),then.ogg,
414,PACENOTE,PREPOSITIONS,NA_OFF,Off (N/A),off.ogg,Aus
435,PACENOTE,LINKS,NEXT_LAP,Onto Next Lap,onto_nextlap1.ogg,Nächste Runde
436,PACENOTE,LINKS,TAKE_EXIT,Onto Finish,onto_finish1.ogg,Zum Ziel
443,PACENOTE,CONSTRUCTION,NA_WOODEN_FENCE,Wooden Fence (N/A),wooden_fence.ogg,Holzzaun
550,PACENOTE,DRIVING,NA_TAKE_SPEED,Take Speed (N/A),take_speed.ogg,Gib Gas
2025,PACENOTE,LINKS,NIU_JATKUU,And (NIU),and1.ogg,Und
