id,type,category,name,translation
-1,RANGE,EXTENDED,100,
-1,RANGE,EXTENDED,1000,
-1,RANGE,EXTENDED,120,
-1,RANGE,EXTENDED,140,
-1,RANGE,EXTENDED,150,
-1,RANGE,EXTENDED,160,
-1,RANGE,EXTENDED,180,
-1,RANGE,EXTENDED,200,
-1,RANGE,EXTENDED,250,
-1,RANGE,EXTENDED,30,
-1,RANGE,EXTENDED,300,
-1,RANGE,EXTENDED,350,
-1,RANGE,EXTENDED,40,
-1,RANGE,EXTENDED,400,
-1,RANGE,EXTENDED,450,
-1,RANGE,EXTENDED,50,
-1,RANGE,EXTENDED,500,
-1,RANGE,EXTENDED,60,
-1,RANGE,EXTENDED,600,
-1,RANGE,EXTENDED,70,
-1,RANGE,EXTENDED,700,
-1,RANGE,EXTENDED,80,
-1,RANGE,EXTENDED,800,
-1,RANGE,EXTENDED,900,
-1,PACENOTE,LINKS,AND,And
-1,PACENOTE,LINKS,CALLOUT_ADJUST,Callout Adjust
-1,PACENOTE,LINKS,CALLOUT_DISTANCE,Callout Distance
-1,PACENOTE,LINKS,CALLOUT_TIME,Callout Time
-1,PACENOTE,CAUTIONS,CAUTION_WATER,Caution Water
-1,PACENOTE,MODIFIER,CUT,Cut
-1,PACENOTE,LINKS,DISTANCE_CALL,Distance Call
-1,PACENOTE,MODIFIER,DONTCUT,Don't Cut
-1,PACENOTE,LINKS,EMPTY_CALL,Empty Call
-1,PACENOTE,LINKS,INTO,Into
-1,PACENOTE,MODIFIER,LONG,Long
-1,PACENOTE,MODIFIER,MAYBE,Maybe
-1,PACENOTE,MODIFIER,NARROWS,Narrows
-1,PACENOTE,LINKS,ONTO,Onto
-1,PACENOTE,LINKS,PLACE_HOLDER,Placeholder
-1,PACENOTE,MODIFIER,SOUND_FILE,Sound File
-1,PACENOTE,LINKS,SOUND_INDEX,Sound Index
-1,PACENOTE,MODIFIER,STANDARD_CALL,Standard Call
-1,PACENOTE,MODIFIER,TIGHTENS,Tightens
-1,PACENOTE,MODIFIER,TIGHTENSBAD,Double Tightens
-1,PACENOTE,MODIFIER,WIDEOUT,Wide Out
0,PACENOTE,CORNERS,HAIRPINLEFT,Hairpin Left
1,PACENOTE,CORNERS,90_LEFT,90 Left
2,PACENOTE,CORNERS,KLEFT,K Left
3,PACENOTE,CORNERS,MEDIUMLEFT,Medium Left
4,PACENOTE,CORNERS,FASTLEFT,Fast Left
5,PACENOTE,CORNERS,EASYLEFT,Easy Left
6,PACENOTE,CORNERS,EASYRIGHT,Easy Right
7,PACENOTE,CORNERS,FASTRIGHT,Fast Right
8,PACENOTE,CORNERS,MEDIUMRIGHT,Medium Right
9,PACENOTE,CORNERS,KRIGHT,K Right
10,PACENOTE,CORNERS,90_RIGHT,90 Right
11,PACENOTE,CORNERS,HAIRPINRIGHT,Hairpin Right
12,PACENOTE,LINE,TWISTY,Twisty
14,PACENOTE,ADDITIONAL,NARROWS,Narrows
15,PACENOTE,ADDITIONAL,WIDEOUT,Wide Out
16,PACENOTE,OBSTACLES,OVERCREST,Over Crest
