id,type,name,translation,file,sounds,error,ini
-1,PLACE,1,,first,1,Not found: first,Audio/Numbers.ini
-1,PLACE,10,10,tenth,1,Not found: tenth,Audio/Numbers.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,,3,Not found: ,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,p100,3,Not found: p100,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,100,,,3,Not found: ,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,100,,p100,3,Not found: p100,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,,3,Not found: ,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,p100,3,Not found: p100,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,100,,,3,Not found: ,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,100,,p100,3,Not found: p100,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,100,,,3,Not found: ,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,100,,p100,3,Not found: p100,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,100,,100.ogg,3,Not found: 100.ogg,Audio/Numbers.ini
-1,RANGE,100,,,3,Not found: ,Audio/Numbers.ini
-1,RANGE,100,,p100,3,Not found: p100,Audio/Numbers.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,,3,Not found: ,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,1000,,,3,Not found: ,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,,3,Not found: ,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,,3,Not found: ,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,1000,,,3,Not found: ,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,1000,,1000.ogg,3,Not found: 1000.ogg,Audio/Numbers.ini
-1,RANGE,1000,,,3,Not found: ,Audio/Numbers.ini
-1,RANGE,1000,,p1000,3,Not found: p1000,Audio/Numbers.ini
-1,PLACE,11,,eleventh,1,Not found: eleventh,Audio/Numbers.ini
-1,PLACE,12,,twelfth,1,Not found: twelfth,Audio/Numbers.ini
-1,RANGE,120,,120.ogg,1,Not found: 120.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,120,,120.ogg,1,Not found: 120.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,120,,120.ogg,1,Not found: 120.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
