id,name,translation,file,sounds,ini
-1,100,,100.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,1000,,1000.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,120,,120.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,140,,140.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,150,,150.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,160,,160.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,180,,180.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,200,,200.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,250,,250.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,30,,30.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,300,,300.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,350,,350.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,40,,40.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,400,,400.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,450,,450.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,50,,50.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,500,,500.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,60,,60.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,600,,600.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,70,,70.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,700,,700.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,80,,80.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,800,,800.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,900,,900.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,AND,Und,and.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_ADJUST,Callout Anpassen,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_DISTANCE,Distanz Anpassen,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_TIME,Zeit Anpassen,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CAUTION_WATER,Achtung Wasser,caution_water.ogg,2,pacenotes/Rbr.ini/packages/Extended.ini/cautions/Extended.ini
-1,CUT,Schneiden,cut.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,CUT,Schneiden,cut.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,DISTANCE_CALL,Distanz,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,DONTCUT,Nicht Schneiden,dontcut.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,DONTCUT,Nicht Schneiden,dontcut.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,EMPTY_CALL,Leere Pacenote,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,INTO,In,into.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,LONG,Lang,long.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,LONG,Lang,long.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,MAYBE,Vielleicht,maybe.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,MAYBE,Vielleicht,maybe.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,NARROWS,Verengt,narrows.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,ONTO,Auf,onto.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PLACE_HOLDER,Platzhalter,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,SOUND_FILE,Sounddatei,,0,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,SOUND_INDEX,Sound Index,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,STANDARD_CALL,Standard Call,,0,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,TIGHTENS,Verengt,tightens.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,TIGHTENS,Verengt,tightens.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
-1,TIGHTENSBAD,Verengt Stark,doubletightens.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,TIGHTENSBAD,Verengt Stark,doubletightens.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
-1,WIDEOUT,Macht Auf,wideout.ogg,3,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
0,HAIRPINLEFT,Kehre Links,hp_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
1,90_LEFT,2 Links,square_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2,KLEFT,3 Links,two_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
3,MEDIUMLEFT,4 Links,three_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
4,FASTLEFT,5 Links,four_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
5,EASYLEFT,6 Links,five_left.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
6,EASYRIGHT,6 Rechts,five_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
7,FASTRIGHT,5 Rechts,four_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
8,MEDIUMRIGHT,4 Rechts,three_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
9,KRIGHT,3 Rechts,two_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
10,90_RIGHT,2 Rechts,square_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
11,HAIRPINRIGHT,Kehre Rechts,hp_right.ogg,1,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
12,TWISTY,Schlenker,twisty.ogg,2,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
